tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,39361,8793,4484668,124451,2017-08-01 16:23:56
892177421306343426,33693,6447,4484669,124451,2017-08-01 00:17:27
891815181378084864,25383,4272,4484669,124451,2017-07-31 00:18:03
891689557279858688,42731,8880,4484669,124451,2017-07-30 15:58:51
891327558926688256,40897,9661,4484669,124451,2017-07-29 16:00:24
891087950875897856,20496,3217,4484669,124451,2017-07-29 00:08:17
890971913173991426,12026,2130,4484669,124451,2017-07-28 16:27:12
890729181411237888,66500,19466,4484669,124451,2017-07-28 00:22:40
890609185150312448,28129,4370,4484669,124451,2017-07-27 16:25:51
890240255349198849,32365,7632,4484669,124451,2017-07-26 15:59:51
890006608113172480,31022,7535,4484669,124451,2017-07-26 00:31:25
889880896479866881,28134,5091,4484669,124451,2017-07-25 16:11:53
889665388333682689,38609,8462,4484669,124451,2017-07-25 01:55:32
889638837579907072,27548,4673,4484669,124451,2017-07-25 00:10:02
889531135344209921,15302,2295,4484669,124451,2017-07-24 17:02:04
889278841981685760,25648,5597,4484669,124451,2017-07-24 00:19:32
888917238123831296,29474,4647,4484669,124451,2017-07-23 00:22:39
888804989199671297,25947,4501,4484670,124451,2017-07-22 16:56:37
888554962724278272,20213,3700,4484670,124451,2017-07-22 00:23:06
888078434458587136,22081,3612,4484670,124451,2017-07-20 16:49:33
887705289381826560,30613,5552,4484670,124451,2017-07-19 16:06:48
887517139158093824,46813,11991,4484670,124451,2017-07-19 03:39:09
887473957103951883,70100,18785,4484670,124451,2017-07-19 00:47:34
887343217045368832,34123,10664,4484670,124451,2017-07-18 16:08:03
887101392804085760,30966,6118,4484670,124451,2017-07-18 00:07:08
886983233522544640,35675,7995,4484670,124451,2017-07-17 16:17:36
886736880519319552,12254,3394,4484670,124451,2017-07-16 23:58:41
886680336477933568,22733,4583,4484670,124451,2017-07-16 20:14:00
886366144734445568,21433,3274,4484670,124451,2017-07-15 23:25:31
886267009285017600,117,4,4484670,124451,2017-07-15 16:51:35
886258384151887873,28349,6475,4484670,124451,2017-07-15 16:17:19
886054160059072513,0,106,4484670,124451,2017-07-15 02:45:48
885984800019947520,33183,7009,4484670,124451,2017-07-14 22:10:11
885528943205470208,36496,6612,4484670,124451,2017-07-13 15:58:47
885518971528720385,20682,3863,4484670,124451,2017-07-13 15:19:09
885311592912609280,0,19111,4484670,124451,2017-07-13 01:35:06
